R&D Spend,Administration,Marketing Spend,State,Profit,Company
165349.2,136897.8,471784.1,New York,192261.83,New York - Company 1
162597.7,151377.59,443898.53,California,191792.06,California - Company 2
153441.51,101145.55,407934.54,Florida,191050.39,Florida - Company 3
144372.41,118671.85,383199.62,New York,182901.99,New York - Company 4
142107.34,91391.77,366168.42,Florida,166187.94,Florida - Company 5
131876.9,99814.71,362861.36,New York,156991.12,New York - Company 6
134615.46,147198.87,127716.82,California,156122.51,California - Company 7
130298.13,145530.06,323876.68,Florida,155752.6,Florida - Company 8
120542.52,148718.95,311613.29,New York,152211.77,New York - Company 9
123334.88,108679.17,304981.62,California,149759.96,California - Company 10
101913.08,110594.11,229160.95,Florida,146121.95,Florida - Company 11
100671.96,91790.61,249744.55,California,144259.4,California - Company 12
93863.75,127320.38,249839.44,Florida,141585.52,Florida - Company 13
91992.39,135495.07,252664.93,California,134307.35,California - Company 14
119943.24,156547.42,256512.92,Florida,132602.65,Florida - Company 15
114523.61,122616.84,261776.23,New York,129917.04,New York - Company 16
78013.11,121597.55,264346.06,California,126992.93,California - Company 17
94657.16,145077.58,282574.31,New York,125370.37,New York - Company 18
91749.16,114175.79,294919.57,Florida,124266.9,Florida - Company 19
86419.7,153514.11,0.0,New York,122776.86,New York - Company 20
76253.86,113867.3,298664.47,California,118474.03,California - Company 21
78389.47,153773.43,299737.29,New York,111313.02,New York - Company 22
73994.56,122782.75,303319.26,Florida,110352.25,Florida - Company 23
67532.53,105751.03,304768.73,Florida,108733.99,Florida - Company 24
77044.01,99281.34,140574.81,New York,108552.04,New York - Company 25
64664.71,139553.16,137962.62,California,107404.34,California - Company 26
75328.87,144135.98,134050.07,Florida,105733.54,Florida - Company 27
72107.6,127864.55,353183.81,New York,105008.31,New York - Company 28
66051.52,182645.56,118148.2,Florida,103282.38,Florida - Company 29
65605.48,153032.06,107138.38,New York,101004.64,New York - Company 30
61994.48,115641.28,91131.24,Florida,99937.59,Florida - Company 31
61136.38,152701.92,88218.23,New York,97483.56,New York - Company 32
63408.86,129219.61,46085.25,California,97427.84,California - Company 33
55493.95,103057.49,214634.81,Florida,96778.92,Florida - Company 34
46426.07,157693.92,210797.67,California,96712.8,California - Company 35
46014.02,85047.44,205517.64,New York,96479.51,New York - Company 36
28663.76,127056.21,201126.82,Florida,90708.19,Florida - Company 37
44069.95,51283.14,197029.42,California,89949.14,California - Company 38
20229.59,65947.93,185265.1,New York,81229.06,New York - Company 39
38558.51,82982.09,174999.3,California,81005.76,California - Company 40
28754.33,118546.05,172795.67,California,78239.91,California - Company 41
27892.92,84710.77,164470.71,Florida,77798.83,Florida - Company 42
23640.93,96189.63,148001.11,California,71498.49,California - Company 43
15505.73,127382.3,35534.17,New York,69758.98,New York - Company 44
22177.74,154806.14,28334.72,California,65200.33,California - Company 45
1000.23,124153.04,1903.93,New York,64926.08,New York - Company 46
1315.46,115816.21,297114.46,Florida,49490.75,Florida - Company 47
0.0,135426.92,0.0,California,42559.73,California - Company 48
542.05,51743.15,0.0,New York,35673.41,New York - Company 49
0.0,116983.8,45173.06,California,14681.4,California - Company 50
87151.0,123327.9523,236937.1317,New York,123485.2464,New York - Company 51
38772.0,116183.1212,143589.7191,California,82155.48418,California - Company 52
89939.0,123739.6968,242316.5853,Florida,125867.0108,Florida - Company 53
65485.0,120128.2187,195132.5255,New York,104976.1696,New York - Company 54
47724.0,117505.1933,160862.6275,Florida,89803.10053,Florida - Company 55
30744.0,114997.5096,128099.6711,New York,75297.23305,New York - Company 56
76381.0,121737.3896,216156.3873,California,114284.5283,California - Company 57
143923.0,131712.2998,346478.8607,Florida,171985.0761,Florida - Company 58
27280.0,114485.9303,121415.8737,New York,72337.96774,New York - Company 59
141092.0,131294.2049,341016.4385,California,169566.5772,California - Company 60
128338.0,129410.636,316407.5606,Florida,158670.9451,Florida - Company 61
76660.0,121778.5936,216694.7185,California,114522.8756,California - Company 62
43088.0,116820.5277,151917.4528,Florida,85842.60573,Florida - Company 63
60955.0,119459.2077,186391.8781,California,101106.2297,California - Company 64
